epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,168.124,1.62939,3.63677,1.68086,0.68012,0.16736,0.19359,0.13518,1.19666,3.10134,1.40579,5.712e-05,5.712e-05,5.712e-05
2,331.577,1.36162,2.13803,1.50529,0.33453,0.3861,0.30413,0.19048,1.37005,3.86664,1.52402,0.000118977,0.000118977,0.000118977
3,494.542,1.27795,1.78358,1.42522,0.56732,0.38388,0.39987,0.24815,1.33875,3.21463,1.55768,0.000178289,0.000178289,0.000178289
4,656.344,1.25685,1.63106,1.3807,0.45351,0.40606,0.37569,0.2426,1.39666,3.49519,1.52745,0.000235056,0.000235056,0.000235056
5,819.253,1.21824,1.44269,1.35131,0.54246,0.44824,0.45149,0.26603,1.47792,3.88828,1.61949,0.000289279,0.000289279,0.000289279
6,983.576,1.18837,1.40448,1.34381,0.54761,0.37356,0.40577,0.24186,1.4699,3.46209,1.57891,0.000340956,0.000340956,0.000340956
7,1145.91,1.20177,1.35151,1.34833,0.42281,0.47971,0.41417,0.24125,1.61997,3.4908,1.77889,0.00039009,0.00039009,0.00039009
8,1307.75,1.20342,1.29499,1.34981,0.56798,0.3546,0.3786,0.22279,1.54643,2.70888,1.70216,0.000436678,0.000436678,0.000436678
9,1469.39,1.24394,1.37165,1.38729,0.62254,0.38604,0.4474,0.25682,1.5043,3.22797,1.61,0.000480722,0.000480722,0.000480722
10,1631.89,1.19527,1.30464,1.36674,0.48801,0.42052,0.4354,0.26579,1.52065,2.91999,1.61571,0.000522221,0.000522221,0.000522221
11,1796.32,1.17024,1.23606,1.35375,0.582,0.40708,0.45351,0.26164,1.71669,2.68203,1.87282,0.000561175,0.000561175,0.000561175
12,1958.81,1.1768,1.1855,1.31767,0.6366,0.41353,0.45473,0.2738,1.56602,2.14052,1.69012,0.000558491,0.000558491,0.000558491
13,2121.84,1.13799,1.16274,1.30394,0.59264,0.40715,0.43736,0.26169,1.5847,2.18908,1.72571,0.000544354,0.000544354,0.000544354
14,2284.47,1.09111,1.07099,1.25428,0.78466,0.38046,0.45783,0.28436,1.63199,2.03616,1.73629,0.000530216,0.000530216,0.000530216
15,2447.67,1.09167,1.10499,1.28981,0.57723,0.47172,0.48199,0.26906,1.72586,1.93397,1.76744,0.000516079,0.000516079,0.000516079
