epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4706.93,0.8476,1.0122,1.19725,0.75125,0.76207,0.82497,0.62003,0.79682,0.88651,1.0772,0.000236211,0.000236211,0.000236211
2,7507.38,0.92528,1.11643,1.23873,0.69349,0.65546,0.69167,0.46187,1.03611,1.45352,1.24159,0.000458562,0.000458562,0.000458562
3,10311.3,0.96159,1.17595,1.26026,0.63141,0.66383,0.67509,0.44373,1.02259,1.29426,1.25083,0.000665205,0.000665205,0.000665205
4,13113.9,0.96036,1.15687,1.25522,0.71376,0.70485,0.75949,0.51583,0.96919,1.07344,1.19731,0.000643314,0.000643314,0.000643314
5,15915.4,0.93956,1.11957,1.24177,0.72779,0.73333,0.76898,0.52527,1.00951,0.97151,1.18272,0.000619752,0.000619752,0.000619752
6,18717.1,0.91024,1.08107,1.22156,0.72173,0.75862,0.8058,0.57578,0.91066,0.92294,1.1238,0.00059619,0.00059619,0.00059619
7,21521.3,0.88132,1.01952,1.20538,0.75911,0.74466,0.79735,0.56207,0.90167,0.91693,1.13337,0.000572628,0.000572628,0.000572628
8,24322.8,0.85263,0.97928,1.18898,0.77108,0.73253,0.79017,0.56023,0.8954,0.88693,1.14576,0.000549066,0.000549066,0.000549066
9,27122.3,0.83876,0.94192,1.18346,0.74734,0.77341,0.81479,0.60059,0.83553,0.8179,1.0765,0.000525504,0.000525504,0.000525504
10,29922.8,0.8247,0.92455,1.17042,0.75586,0.78614,0.81938,0.59696,0.84337,0.78524,1.09445,0.000501942,0.000501942,0.000501942
11,32724.9,0.80235,0.89237,1.15951,0.80034,0.78737,0.8467,0.62258,0.82536,0.76461,1.07238,0.00047838,0.00047838,0.00047838
12,35527.5,0.79396,0.87222,1.14631,0.76957,0.78972,0.83439,0.60937,0.83287,0.74754,1.08126,0.000454818,0.000454818,0.000454818
13,38330.2,0.78346,0.84801,1.139,0.81686,0.78803,0.85213,0.63933,0.80287,0.7309,1.06697,0.000431256,0.000431256,0.000431256
14,41131.7,0.76121,0.82228,1.12666,0.80361,0.78946,0.85815,0.64496,0.77903,0.70765,1.06059,0.000407694,0.000407694,0.000407694
15,43934.1,0.75461,0.80596,1.1219,0.79064,0.80306,0.85063,0.65031,0.77368,0.70925,1.05639,0.000384132,0.000384132,0.000384132
16,46736.6,0.73555,0.78342,1.11438,0.81118,0.8187,0.86555,0.6559,0.78417,0.68207,1.06097,0.00036057,0.00036057,0.00036057
17,49538.6,0.72417,0.7642,1.10004,0.80544,0.83654,0.86804,0.66176,0.75363,0.6648,1.03558,0.000337008,0.000337008,0.000337008
18,52340.3,0.71275,0.74911,1.10073,0.81266,0.82234,0.86702,0.66599,0.73798,0.66438,1.02518,0.000313446,0.000313446,0.000313446
19,55141.9,0.70432,0.73313,1.09404,0.82087,0.81755,0.8679,0.67241,0.747,0.64603,1.04517,0.000289884,0.000289884,0.000289884
20,57944.2,0.68074,0.70811,1.07873,0.80152,0.84533,0.88259,0.68467,0.70878,0.61724,1.00824,0.000266322,0.000266322,0.000266322
21,60742.5,0.67342,0.62415,1.08217,0.81435,0.83366,0.86813,0.67405,0.72923,0.62796,1.01483,0.00024276,0.00024276,0.00024276
22,63540.6,0.64871,0.58833,1.06659,0.79849,0.86079,0.88595,0.69396,0.71586,0.61243,1.01359,0.000219198,0.000219198,0.000219198
23,66346.7,0.63506,0.55587,1.05834,0.81565,0.82294,0.88257,0.68663,0.71973,0.62358,1.01739,0.000195636,0.000195636,0.000195636
24,69147.8,0.62457,0.54118,1.05234,0.81646,0.82581,0.88228,0.70183,0.69052,0.60203,0.99449,0.000172074,0.000172074,0.000172074
25,72087.5,0.60099,0.52317,1.03531,0.82428,0.82138,0.87594,0.69299,0.69411,0.60498,1.00218,0.000148512,0.000148512,0.000148512
26,74884,0.58861,0.50041,1.03265,0.82452,0.85019,0.88363,0.7042,0.6845,0.5811,0.99015,0.00012495,0.00012495,0.00012495
27,77681,0.57791,0.49008,1.02505,0.80105,0.85026,0.88739,0.7043,0.6805,0.57662,0.99588,0.000101388,0.000101388,0.000101388
28,80486.9,0.56024,0.46925,1.01096,0.82988,0.83208,0.88312,0.70577,0.67268,0.58233,0.99084,7.7826e-05,7.7826e-05,7.7826e-05
29,83294.2,0.54865,0.45255,1.00529,0.80446,0.86799,0.88982,0.71479,0.66939,0.57437,0.98988,5.4264e-05,5.4264e-05,5.4264e-05
30,86102.2,0.53283,0.43504,0.99769,0.84364,0.84254,0.89016,0.71433,0.67045,0.56285,0.99362,3.0702e-05,3.0702e-05,3.0702e-05
