epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1124.12,1.29909,1.96579,1.47869,0.53789,0.45186,0.44788,0.24002,1.42584,1.73297,1.4508,0.000236096,0.000236096,0.000236096
2,2202.08,1.23883,1.51542,1.42752,0.59173,0.41612,0.4361,0.22107,1.54371,2.01937,1.58473,0.000458451,0.000458451,0.000458451
3,3295.47,1.25303,1.48251,1.4224,0.62531,0.44553,0.48719,0.26012,1.4648,1.64894,1.50079,0.000665098,0.000665098,0.000665098
4,4349.57,1.24201,1.44448,1.41493,0.65555,0.49604,0.53726,0.30418,1.38275,1.50582,1.43553,0.000643314,0.000643314,0.000643314
5,5366.87,1.20151,1.34616,1.38233,0.67254,0.50103,0.53895,0.30815,1.36124,1.42167,1.44822,0.000619752,0.000619752,0.000619752
6,6391.75,1.17253,1.28735,1.36598,0.73648,0.52175,0.59181,0.34299,1.3083,1.2655,1.35822,0.00059619,0.00059619,0.00059619
7,7411.06,1.15043,1.23281,1.34879,0.76081,0.56635,0.63605,0.37306,1.29665,1.17114,1.36497,0.000572628,0.000572628,0.000572628
8,8437.25,1.10643,1.15793,1.32709,0.77284,0.57127,0.65043,0.38177,1.24633,1.11534,1.33019,0.000549066,0.000549066,0.000549066
9,9536.83,1.08874,1.09659,1.30395,0.78244,0.59417,0.66799,0.40197,1.21335,1.04213,1.30007,0.000525504,0.000525504,0.000525504
10,10690.5,1.06739,1.05624,1.28348,0.80476,0.59059,0.6785,0.41071,1.20205,1.03482,1.2878,0.000501942,0.000501942,0.000501942
11,11777.9,1.03674,1.02297,1.26692,0.81838,0.62227,0.7053,0.43442,1.1647,0.959,1.25605,0.00047838,0.00047838,0.00047838
12,12862.4,1.02178,0.9724,1.25711,0.82759,0.63033,0.712,0.44095,1.14573,0.93271,1.24952,0.000454818,0.000454818,0.000454818
13,13949.6,0.99954,0.93811,1.23935,0.82688,0.63974,0.72328,0.45674,1.12182,0.87064,1.23238,0.000431256,0.000431256,0.000431256
14,15036.1,0.97713,0.89896,1.22541,0.828,0.6524,0.73023,0.46241,1.10621,0.87721,1.21677,0.000407694,0.000407694,0.000407694
15,16144.7,0.95456,0.87329,1.21587,0.84953,0.6657,0.7443,0.47623,1.08942,0.81388,1.20247,0.000384132,0.000384132,0.000384132
16,17270,0.94243,0.84868,1.20265,0.855,0.65982,0.74501,0.48138,1.08188,0.80914,1.19592,0.00036057,0.00036057,0.00036057
17,18373.5,0.93307,0.82515,1.19475,0.86905,0.66548,0.75467,0.48825,1.07601,0.7883,1.19023,0.000337008,0.000337008,0.000337008
18,19491.4,0.90929,0.79233,1.18405,0.84987,0.68397,0.76435,0.49976,1.05025,0.75285,1.17909,0.000313446,0.000313446,0.000313446
19,20599.1,0.90532,0.76393,1.17043,0.86633,0.69061,0.77214,0.50837,1.03369,0.7263,1.15528,0.000289884,0.000289884,0.000289884
20,21608.4,0.86827,0.72458,1.1549,0.87725,0.6977,0.78286,0.52304,1.01071,0.69613,1.14945,0.000266322,0.000266322,0.000266322
21,22606.3,0.89414,0.67078,1.167,0.86377,0.70613,0.78258,0.51353,1.02223,0.70282,1.14761,0.00024276,0.00024276,0.00024276
22,23604.9,0.869,0.62965,1.15205,0.87529,0.71838,0.79606,0.53799,0.98182,0.65846,1.12463,0.000219198,0.000219198,0.000219198
23,24602.1,0.84306,0.59989,1.13273,0.8834,0.71998,0.7958,0.54298,0.96882,0.64437,1.11367,0.000195636,0.000195636,0.000195636
24,25601.5,0.81305,0.56546,1.10773,0.8792,0.73028,0.80618,0.55087,0.96472,0.62321,1.11184,0.000172074,0.000172074,0.000172074
25,26596.9,0.79915,0.55345,1.1072,0.8925,0.73461,0.81173,0.55714,0.94656,0.60629,1.09895,0.000148512,0.000148512,0.000148512
26,27596.7,0.77683,0.52785,1.09002,0.89084,0.73726,0.81455,0.56348,0.92553,0.59159,1.08576,0.00012495,0.00012495,0.00012495
27,28596.1,0.75609,0.51436,1.07819,0.89217,0.74006,0.81703,0.57057,0.917,0.57541,1.08223,0.000101388,0.000101388,0.000101388
28,29597,0.73047,0.49148,1.0585,0.89726,0.75042,0.8195,0.57448,0.90864,0.56989,1.07742,7.7826e-05,7.7826e-05,7.7826e-05
29,30592.9,0.71294,0.47759,1.05249,0.89983,0.74828,0.82295,0.57878,0.90013,0.55897,1.07271,5.4264e-05,5.4264e-05,5.4264e-05
30,31592.4,0.6986,0.46677,1.047,0.90444,0.75196,0.82396,0.58123,0.89263,0.55404,1.06913,3.0702e-05,3.0702e-05,3.0702e-05
