epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,209.854,1.45119,3.78017,1.546,0.04185,0.2756,0.07939,0.05075,1.33498,3.94672,1.36247,0.00012138,0.00012138,0.00012138
2,429.121,1.35975,3.34988,1.49083,0.94199,0.05695,0.09226,0.05798,1.47567,3.6308,1.44868,0.000244952,0.000244952,0.000244952
3,649.803,1.36459,2.731,1.50085,0.92054,0.09519,0.12741,0.07431,1.56199,3.07534,1.51169,0.000363435,0.000363435,0.000363435
4,885.522,1.36613,2.45305,1.50095,0.26623,0.19804,0.17819,0.09357,1.6235,2.92653,1.55527,0.000476828,0.000476828,0.000476828
5,1122.42,1.33711,2.24745,1.49817,0.29354,0.26196,0.21095,0.11185,1.55844,2.72637,1.54701,0.000585132,0.000585132,0.000585132
6,1355.43,1.33401,2.08688,1.46863,0.323,0.3146,0.24963,0.13065,1.53857,2.39329,1.54619,0.000643314,0.000643314,0.000643314
7,1585.11,1.32323,2.03178,1.48913,0.33556,0.3097,0.24467,0.12808,1.55478,2.47288,1.61653,0.000629177,0.000629177,0.000629177
8,1810.72,1.28951,1.98396,1.46502,0.36728,0.32239,0.27491,0.14149,1.53149,2.23482,1.58033,0.00061504,0.00061504,0.00061504
9,2041.36,1.23797,1.87327,1.43387,0.45994,0.3393,0.31345,0.16144,1.5729,2.19875,1.65603,0.000600902,0.000600902,0.000600902
10,2267.57,1.25035,1.8494,1.44589,0.45698,0.3262,0.31507,0.16824,1.54631,2.18375,1.63013,0.000586765,0.000586765,0.000586765
11,2502.79,1.21588,1.77574,1.41191,0.46039,0.35966,0.34125,0.17804,1.52331,2.05527,1.54985,0.000572628,0.000572628,0.000572628
12,2735.22,1.19443,1.69422,1.41628,0.52287,0.35826,0.36565,0.19706,1.51569,2.03076,1.54653,0.000558491,0.000558491,0.000558491
13,2961.62,1.19602,1.71288,1.39997,0.48181,0.36491,0.37266,0.19456,1.5152,1.98429,1.5327,0.000544354,0.000544354,0.000544354
14,3190.85,1.16102,1.64975,1.37782,0.494,0.3886,0.40092,0.21401,1.47556,1.89609,1.47475,0.000530216,0.000530216,0.000530216
