epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.0155,1.47062,3.79525,1.54287,0.03579,0.3074,0.08077,0.04805,1.34903,3.94278,1.36281,0.00012138,0.00012138,0.00012138
2,98.6331,1.37888,3.41821,1.51138,0.8222,0.05535,0.08643,0.05371,1.50372,3.65138,1.45575,0.000245777,0.000245777,0.000245777
3,150.604,1.3387,2.792,1.4873,0.81533,0.08017,0.11743,0.06891,1.57228,3.23433,1.52584,0.000365932,0.000365932,0.000365932
4,198.189,1.39638,2.49024,1.49302,0.33718,0.15649,0.16712,0.09029,1.58638,3.10497,1.5375,0.000481846,0.000481846,0.000481846
5,246.779,1.32602,2.2744,1.47632,0.2806,0.24777,0.20237,0.10955,1.58231,2.696,1.5813,0.00059352,0.00059352,0.00059352
6,300.453,1.37583,2.14753,1.47996,0.33271,0.30458,0.25047,0.12832,1.56299,2.53588,1.49397,0.000655095,0.000655095,0.000655095
7,353.916,1.34704,2.075,1.48331,0.36291,0.29553,0.2575,0.13215,1.57647,2.3433,1.56838,0.000643314,0.000643314,0.000643314
8,406.516,1.2877,1.91043,1.44653,0.40544,0.33365,0.29794,0.15989,1.52226,2.29534,1.52033,0.000631533,0.000631533,0.000631533
9,457.485,1.30857,1.87473,1.4457,0.43294,0.34557,0.32347,0.17186,1.54339,2.17995,1.56251,0.000619752,0.000619752,0.000619752
10,508.17,1.29312,1.84229,1.44116,0.52108,0.35637,0.36599,0.19663,1.54248,2.15764,1.55487,0.000607971,0.000607971,0.000607971
11,560.064,1.26503,1.74043,1.41416,0.49996,0.37203,0.37841,0.19878,1.53522,2.04958,1.52855,0.00059619,0.00059619,0.00059619
12,611.758,1.23179,1.67144,1.40696,0.57929,0.39,0.40549,0.21765,1.5345,2.04945,1.53932,0.000584409,0.000584409,0.000584409
13,662.939,1.20001,1.63858,1.37472,0.56602,0.36019,0.39195,0.20382,1.55295,2.21307,1.55868,0.000572628,0.000572628,0.000572628
14,714.659,1.17872,1.61268,1.38313,0.55711,0.39788,0.41384,0.21773,1.5042,1.93216,1.51433,0.000560847,0.000560847,0.000560847
15,769.203,1.18973,1.58481,1.36673,0.59451,0.39792,0.42522,0.22736,1.46512,1.89486,1.48055,0.000549066,0.000549066,0.000549066
16,823.013,1.17497,1.58886,1.34771,0.5989,0.41913,0.44214,0.23748,1.4658,1.85716,1.50325,0.000537285,0.000537285,0.000537285
17,876.645,1.16873,1.52253,1.34469,0.56971,0.40315,0.41194,0.22456,1.46756,1.95585,1.52203,0.000525504,0.000525504,0.000525504
18,927.677,1.15049,1.46428,1.31461,0.62532,0.43749,0.4746,0.26138,1.45675,1.78923,1.48063,0.000513723,0.000513723,0.000513723
19,976.65,1.12717,1.42713,1.32284,0.63711,0.44079,0.48074,0.26621,1.44008,1.76086,1.46725,0.000501942,0.000501942,0.000501942
20,1026.04,1.1179,1.43602,1.31267,0.61764,0.42408,0.46878,0.25772,1.4849,1.88893,1.50259,0.000490161,0.000490161,0.000490161
21,1073.83,1.1247,1.41364,1.31765,0.62262,0.44771,0.47872,0.26791,1.43217,1.79984,1.48999,0.00047838,0.00047838,0.00047838
22,1124.54,1.09556,1.38689,1.30375,0.65308,0.44057,0.48816,0.26883,1.4457,1.78441,1.48812,0.000466599,0.000466599,0.000466599
23,1177.88,1.12177,1.37807,1.29492,0.66634,0.45238,0.50509,0.28025,1.40781,1.67203,1.41684,0.000454818,0.000454818,0.000454818
24,1234.12,1.07731,1.35675,1.27883,0.64244,0.46307,0.50277,0.2781,1.42259,1.70217,1.4292,0.000443037,0.000443037,0.000443037
